#Leapfrog 3D bezier polyline file (v1.2).
#Point X, Point Y, Point Z, Normal X, Normal Y, Normal Z, Control0 X, Control0 Y, Control0 Z, Control1 X, Control1 Y, Control1 Z, STangent X, STangent Y, STangent Z
26748.5918493, 46832.1089374, -8.2592578982, -0.00694427700151, 0.999975888218, 0, 26748.5918493, 46832.1089374, -8.2592578982, 26748.5918493, 46832.1089374, -8.2592578982, 0, 1, -4.48965921698e-11
26916.7507985, 46833.2767079, -160.611736297, -0.00694427700151, 0.999975888218, 0, 26916.7507985, 46833.2767079, -160.611736297, 26916.7507985, 46833.2767079, -160.611736297, 0, 1, -4.48965921698e-11
27161.1958301, 46834.9742428, -215.108468479, -0.00694427700151, 0.999975888218, 0, 27161.1958301, 46834.9742428, -215.108468479, 27161.1958301, 46834.9742428, -215.108468479, 0, 1, -4.48965921698e-11
27334.1173924, 46836.175087, -253.413877846, -0.00694427700151, 0.999975888218, 0, 27334.1173924, 46836.175087, -253.413877846, 27334.1173924, 46836.175087, -253.413877846, 0, 1, -4.48965921698e-11
27516.4361905, 46837.4411898, -286.881878212, -0.00694427700151, 0.999975888218, 0, 27516.4361905, 46837.4411898, -286.881878212, 27516.4361905, 46837.4411898, -286.881878212, 0, 1, -4.48965921698e-11
End
27179.8013147, 46835.1034476, -6.07037736309, -0.00694427700151, 0.999975888218, 0, 27179.8013147, 46835.1034476, -6.07037736309, 27179.8013147, 46835.1034476, -6.07037736309, 0, 1, -4.48965921698e-11
27233.4288878, 46835.4758613, -67.3590323501, -0.00694427700151, 0.999975888218, 0, 27233.4288878, 46835.4758613, -67.3590323501, 27233.4288878, 46835.4758613, -67.3590323501, 0, 1, -4.48965921698e-11
27311.1341468, 46836.0154811, -106.758881985, -0.00694427700151, 0.999975888218, 0, 27311.1341468, 46836.0154811, -106.758881985, 27311.1341468, 46836.0154811, -106.758881985, 0, 1, -4.48965921698e-11
27411.1749588, 46836.710209, -190.991276707, -0.00694427700151, 0.999975888218, 0, 27411.1749588, 46836.710209, -190.991276707, 27411.1749588, 46836.710209, -190.991276707, 0, 1, -4.48965921698e-11
27515.6489777, 46837.435723, -286.264020262, -0.00694427700151, 0.999975888218, 0, 27515.6489777, 46837.435723, -286.264020262, 27515.6489777, 46837.435723, -286.264020262, 0, 1, -4.48965921698e-11
27619.7663023, 46838.15876, -349.724621397, -0.00694427700151, 0.999975888218, 0, 27619.7663023, 46838.15876, -349.724621397, 27619.7663023, 46838.15876, -349.724621397, 0, 1, -4.48965921698e-11
27647.127309, 46838.348767, -361.763464341, -0.00694427700151, 0.999975888218, 0, 27647.127309, 46838.348767, -361.763464341, 27647.127309, 46838.348767, -361.763464341, 0, 1, -4.48965921698e-11
27707.3215237, 46838.7667824, -366.141225412, -0.00694427700151, 0.999975888218, 0, 27707.3215237, 46838.7667824, -366.141225412, 27707.3215237, 46838.7667824, -366.141225412, 0, 1, -4.48965921698e-11
End
26901.1809198, 46833.212634, -143.448907324, -0.00698126029796, 0.999975630705, 6.12323399574e-17, 26901.1809198, 46833.212634, -143.448907324, 26901.1809198, 46833.212634, -143.448907324, -0.0129169071927, 0.99426098334, -0.106199107891
26941.9485624, 46833.4972504, -140.946245707, -0.00698126029796, 0.999975630705, 6.12323399574e-17, 26941.9485624, 46833.4972504, -140.946245707, 26941.9485624, 46833.4972504, -140.946245707, -0.0129169071927, 0.99426098334, -0.106199107891
26947.4207292, 46833.535454, -118.379108081, -0.00698126029796, 0.999975630705, 6.12323399574e-17, 26947.4207292, 46833.535454, -118.379108081, 26947.4207292, 46833.535454, -118.379108081, -0.0129169071927, 0.99426098334, -0.106199107891
26978.0648632, 46833.7493939, -120.285602711, -0.00698126029796, 0.999975630705, 6.12323399574e-17, 26978.0648632, 46833.7493939, -120.285602711, 26978.0648632, 46833.7493939, -120.285602711, -0.0129169071927, 0.99426098334, -0.106199107891
26986.8203301, 46833.8105196, -113.400829052, -0.00698126029796, 0.999975630705, 6.12323399574e-17, 26986.8203301, 46833.8105196, -113.400829052, 26986.8203301, 46833.8105196, -113.400829052, -0.0129169071927, 0.99426098334, -0.106199107891
27010.3506473, 46833.9747948, -115.036723424, -0.00698126029796, 0.999975630705, 6.12323399574e-17, 27010.3506473, 46833.9747948, -115.036723424, 27010.3506473, 46833.9747948, -115.036723424, -0.0129169071927, 0.99426098334, -0.106199107891
27016.6436391, 46834.0187289, -105.677034801, -0.00698126029796, 0.999975630705, 6.12323399574e-17, 27016.6436391, 46834.0187289, -105.677034801, 27016.6436391, 46834.0187289, -105.677034801, -0.0129169071927, 0.99426098334, -0.106199107891
27085.3193323, 46834.4981835, -96.002140542, -0.00698126029796, 0.999975630705, 6.12323399574e-17, 27085.3193323, 46834.4981835, -96.002140542, 27085.3193323, 46834.4981835, -96.002140542, -0.0129169071927, 0.99426098334, -0.106199107891
27100.6413994, 46834.6051534, -73.7038470564, -0.00698126029796, 0.999975630705, 6.12323399574e-17, 27100.6413994, 46834.6051534, -73.7038470564, 27100.6413994, 46834.6051534, -73.7038470564, -0.0129169071927, 0.99426098334, -0.106199107891
27222.3696606, 46835.4549908, -54.9627313351, -0.00698126029796, 0.999975630705, 6.12323399574e-17, 27222.3696606, 46835.4549908, -54.9627313351, 27222.3696606, 46835.4549908, -54.9627313351, -0.0129169071927, 0.99426098334, -0.106199107891
End
26943.3166041, 46833.5068013, -162.958660714, -0.00698126029796, 0.999975630705, 6.12323399574e-17, 26943.3166041, 46833.5068013, -162.958660714, 26943.3166041, 46833.5068013, -162.958660714, -0.0129169071927, 0.99426098334, -0.106199107891
26950.1568126, 46833.5545558, -138.464481886, -0.00698126029796, 0.999975630705, 6.12323399574e-17, 26950.1568126, 46833.5545558, -138.464481886, 26950.1568126, 46833.5545558, -138.464481886, -0.0129169071927, 0.99426098334, -0.106199107891
26974.2343465, 46833.7226514, -140.375191197, -0.00698126029796, 0.999975630705, 6.12323399574e-17, 26974.2343465, 46833.7226514, -140.375191197, 26974.2343465, 46833.7226514, -140.375191197, -0.0129169071927, 0.99426098334, -0.106199107891
26987.6411551, 46833.8162501, -134.037764466, -0.00698126029796, 0.999975630705, 6.12323399574e-17, 26987.6411551, 46833.8162501, -134.037764466, 26987.6411551, 46833.8162501, -134.037764466, -0.0129169071927, 0.99426098334, -0.106199107891
27010.0770389, 46833.9728846, -133.748198141, -0.00698126029796, 0.999975630705, 6.12323399574e-17, 27010.0770389, 46833.9728846, -133.748198141, 27010.0770389, 46833.9728846, -133.748198141, -0.0129169071927, 0.99426098334, -0.106199107891
27018.5588975, 46834.0321002, -124.937436952, -0.00698126029796, 0.999975630705, 6.12323399574e-17, 27018.5588975, 46834.0321002, -124.937436952, 27018.5588975, 46834.0321002, -124.937436952, -0.0129169071927, 0.99426098334, -0.106199107891
27086.1401574, 46834.503914, -116.088743629, -0.00698126029796, 0.999975630705, 6.12323399574e-17, 27086.1401574, 46834.503914, -116.088743629, 27086.1401574, 46834.503914, -116.088743629, -0.0129169071927, 0.99426098334, -0.106199107891
27102.5566577, 46834.6185247, -92.6890830435, -0.00698126029796, 0.999975630705, 6.12323399574e-17, 27102.5566577, 46834.6185247, -92.6890830435, 27102.5566577, 46834.6185247, -92.6890830435, -0.0129169071927, 0.99426098334, -0.106199107891
27234.4358774, 46835.5392303, -69.4904804729, -0.00698126029796, 0.999975630705, 6.12323399574e-17, 27234.4358774, 46835.5392303, -69.4904804729, 27234.4358774, 46835.5392303, -69.4904804729, -0.0129169071927, 0.99426098334, -0.106199107891
End
27501.4564059, 46837.4034155, -269.920838541, -0.00698126029796, 0.999975630705, 6.12323399574e-17, 27501.4564059, 46837.4034155, -269.920838541, 27501.4564059, 46837.4034155, -269.920838541, -0.0129169071927, 0.99426098334, -0.106199107891
27623.3427026, 46838.2543562, -267.507745189, -0.00698126029796, 0.999975630705, 6.12323399574e-17, 27623.3427026, 46838.2543562, -267.507745189, 27623.3427026, 46838.2543562, -267.507745189, -0.0129169071927, 0.99426098334, -0.106199107891
27684.866262, 46838.6838787, -266.300825984, -0.00698126029796, 0.999975630705, 6.12323399574e-17, 27684.866262, 46838.6838787, -266.300825984, 27684.866262, 46838.6838787, -266.300825984, -0.0129169071927, 0.99426098334, -0.106199107891
27702.6655307, 46838.808143, -258.506527368, -0.00698126029796, 0.999975630705, 6.12323399574e-17, 27702.6655307, 46838.808143, -258.506527368, 27702.6655307, 46838.808143, -258.506527368, -0.0129169071927, 0.99426098334, -0.106199107891
27713.8868088, 46838.8864836, -257.721037706, -0.00698126029796, 0.999975630705, 6.12323399574e-17, 27713.8868088, 46838.8864836, -257.721037706, 27713.8868088, 46838.8864836, -257.721037706, -0.0129169071927, 0.99426098334, -0.106199107891
27725.1080869, 46838.9648242, -266.664141045, -0.00698126029796, 0.999975630705, 6.12323399574e-17, 27725.1080869, 46838.9648242, -266.664141045, 27725.1080869, 46838.9648242, -266.664141045, -0.0129169071927, 0.99426098334, -0.106199107891
27797.0790431, 46839.4672844, -265.061372603, -0.00698126029796, 0.999975630705, 6.12323399574e-17, 27797.0790431, 46839.4672844, -265.061372603, 27797.0790431, 46839.4672844, -265.061372603, -0.0129169071927, 0.99426098334, -0.106199107891
27809.0742025, 46839.5510278, -249.877068593, -0.00698126029796, 0.999975630705, 6.12323399574e-17, 27809.0742025, 46839.5510278, -249.877068593, 27809.0742025, 46839.5510278, -249.877068593, -0.0129169071927, 0.99426098334, -0.106199107891
27836.1600462, 46839.7401257, -254.52940856, -0.00698126029796, 0.999975630705, 6.12323399574e-17, 27836.1600462, 46839.7401257, -254.52940856, 27836.1600462, 46839.7401257, -254.52940856, -0.0129169071927, 0.99426098334, -0.106199107891
27845.0596806, 46839.8022579, -245.184247171, -0.00698126029796, 0.999975630705, 6.12323399574e-17, 27845.0596806, 46839.8022579, -245.184247171, 27845.0596806, 46839.8022579, -245.184247171, -0.0129169071927, 0.99426098334, -0.106199107891
27868.6630587, 46839.9670432, -246.33652883, -0.00698126029796, 0.999975630705, 6.12323399574e-17, 27868.6630587, 46839.9670432, -246.33652883, 27868.6630587, 46839.9670432, -246.33652883, -0.0129169071927, 0.99426098334, -0.106199107891
27873.6932868, 46840.0021614, -276.686510413, -0.00698126029796, 0.999975630705, 6.12323399574e-17, 27873.6932868, 46840.0021614, -276.686510413, 27873.6932868, 46840.0021614, -276.686510413, -0.0129169071927, 0.99426098334, -0.106199107891
27944.8903618, 46840.4992188, -272.749376356, -0.00698126029796, 0.999975630705, 6.12323399574e-17, 27944.8903618, 46840.4992188, -272.749376356, 27944.8903618, 46840.4992188, -272.749376356, -0.0129169071927, 0.99426098334, -0.106199107891
28085.3498085, 46841.4798267, -245.808307719, -0.00698126029796, 0.999975630705, 6.12323399574e-17, 28085.3498085, 46841.4798267, -245.808307719, 28085.3498085, 46841.4798267, -245.808307719, -0.0129169071927, 0.99426098334, -0.106199107891
28184.0196678, 46842.1686834, -226.676935552, -0.00698126029796, 0.999975630705, 6.12323399574e-17, 28184.0196678, 46842.1686834, -226.676935552, 28184.0196678, 46842.1686834, -226.676935552, -0.0129169071927, 0.99426098334, -0.106199107891
28193.6931834, 46842.2362184, -220.055283499, -0.00698126029796, 0.999975630705, 6.12323399574e-17, 28193.6931834, 46842.2362184, -220.055283499, 28193.6931834, 46842.2362184, -220.055283499, -0.0129169071927, 0.99426098334, -0.106199107891
28291.2022208, 46842.916971, -205.59438103, -0.00698126029796, 0.999975630705, 6.12323399574e-17, 28291.2022208, 46842.916971, -205.59438103, 28291.2022208, 46842.916971, -205.59438103, -0.0129169071927, 0.99426098334, -0.106199107891
End
27530.3466329, 46837.6051106, -291.161194729, -0.00698126029796, 0.999975630705, 6.12323399574e-17, 27530.3466329, 46837.6051106, -291.161194729, 27530.3466329, 46837.6051106, -291.161194729, -0.0129169071927, 0.99426098334, -0.106199107891
27675.0624266, 46838.6154339, -283.674580219, -0.00698126029796, 0.999975630705, 6.12323399574e-17, 27675.0624266, 46838.6154339, -283.674580219, 27675.0624266, 46838.6154339, -283.674580219, -0.0129169071927, 0.99426098334, -0.106199107891
27683.9620609, 46838.677566, -285.614586712, -0.00698126029796, 0.999975630705, 6.12323399574e-17, 27683.9620609, 46838.677566, -285.614586712, 27683.9620609, 46838.677566, -285.614586712, -0.0129169071927, 0.99426098334, -0.106199107891
27704.8568547, 46838.8234416, -277.429157556, -0.00698126029796, 0.999975630705, 6.12323399574e-17, 27704.8568547, 46838.8234416, -277.429157556, 27704.8568547, 46838.8234416, -277.429157556, -0.0129169071927, 0.99426098334, -0.106199107891
27719.5605984, 46838.9260948, -282.089444803, -0.00698126029796, 0.999975630705, 6.12323399574e-17, 27719.5605984, 46838.9260948, -282.089444803, 27719.5605984, 46838.9260948, -282.089444803, -0.0129169071927, 0.99426098334, -0.106199107891
27801.5920108, 46839.4987914, -280.480219196, -0.00698126029796, 0.999975630705, 6.12323399574e-17, 27801.5920108, 46839.4987914, -280.480219196, 27801.5920108, 46839.4987914, -280.480219196, -0.0129169071927, 0.99426098334, -0.106199107891
27807.7830608, 46839.5420137, -269.191077674, -0.00698126029796, 0.999975630705, 6.12323399574e-17, 27807.7830608, 46839.5420137, -269.191077674, 27807.7830608, 46839.5420137, -269.191077674, -0.0129169071927, 0.99426098334, -0.106199107891
27836.0297264, 46839.7392159, -275.010103744, -0.00698126029796, 0.999975630705, 6.12323399574e-17, 27836.0297264, 46839.7392159, -275.010103744, 27836.0297264, 46839.7392159, -275.010103744, -0.0129169071927, 0.99426098334, -0.106199107891
27842.9946577, 46839.7878411, -265.666184117, -0.00698126029796, 0.999975630705, 6.12323399574e-17, 27842.9946577, 46839.7878411, -265.666184117, 27842.9946577, 46839.7878411, -265.666184117, -0.0129169071927, 0.99426098334, -0.106199107891
27867.7588577, 46839.9607306, -266.428576999, -0.00698126029796, 0.999975630705, 6.12323399574e-17, 27867.7588577, 46839.9607306, -266.428576999, 27867.7588577, 46839.9607306, -266.428576999, -0.0129169071927, 0.99426098334, -0.106199107891
27875.8846108, 46840.01746, -298.722290363, -0.00698126029796, 0.999975630705, 6.12323399574e-17, 27875.8846108, 46840.01746, -298.722290363, 27875.8846108, 46840.01746, -298.722290363, -0.0129169071927, 0.99426098334, -0.106199107891
27959.8507263, 46840.6036636, -293.609529513, -0.00698126029796, 0.999975630705, 6.12323399574e-17, 27959.8507263, 46840.6036636, -293.609529513, 27959.8507263, 46840.6036636, -293.609529513, -0.0129169071927, 0.99426098334, -0.106199107891
28045.751545, 46841.2033742, -277.210359018, -0.00698126029796, 0.999975630705, 6.12323399574e-17, 28045.751545, 46841.2033742, -277.210359018, 28045.751545, 46841.2033742, -277.210359018, -0.0129169071927, 0.99426098334, -0.106199107891
28113.4661543, 46841.676119, -266.660016891, -0.00698126029796, 0.999975630705, 6.12323399574e-17, 28113.4661543, 46841.676119, -266.660016891, 28113.4661543, 46841.676119, -266.660016891, -0.0129169071927, 0.99426098334, -0.106199107891
